vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y1761,8,71467397,1804,1.0,IN_TRANSIT_TO,32.0,1761,42.33896,-71.107146,,,2025-12-09 13:01:54+00:00
y3124,116,71825889,5760,0.0,STOPPED_AT,19.0,3124,42.406916,-71.014265,,22.0,2025-12-09 13:01:45+00:00
ynk258,Shuttle-Generic,BL-6194923,,,IN_TRANSIT_TO,,258,42.197401,-71.006017,,165.0,2025-12-09 13:01:57+00:00
y2047,76,71696023,86178,1.0,IN_TRANSIT_TO,6.0,2047,42.448714,-71.28494,,277.0,2025-12-09 13:01:58+00:00
y1419,96,71997488,45002,1.0,STOPPED_AT,1.0,1419,42.41768,-71.10578,,315.0,2025-12-09 13:01:33+00:00
y1720,16,71466001,2933,1.0,IN_TRANSIT_TO,18.0,1720,42.31682,-71.06536,,45.0,2025-12-09 13:01:33+00:00
y1443,94,71996476,5002,1.0,IN_TRANSIT_TO,2.0,1443,42.418601,-71.1066,,278.0,2025-12-09 13:01:55+00:00
y2065,69,71694696,1409,1.0,IN_TRANSIT_TO,12.0,2065,42.372433,-71.090547,,103.0,2025-12-09 13:02:00+00:00
y1681,51,72093679,71835,1.0,IN_TRANSIT_TO,10.0,1681,42.311931,-71.14286,,160.0,2025-12-09 13:01:57+00:00
y1925,70,71696177,86944,1.0,STOPPED_AT,1.0,1925,42.374569,-71.235618,,,2025-12-09 13:01:39+00:00
y1736,15,71466304,1224,1.0,IN_TRANSIT_TO,35.0,1736,42.332748,-71.092511,,49.0,2025-12-09 13:02:00+00:00
y1274,751,72040408,6538,0.0,STOPPED_AT,1.0,1274,42.35218,-71.05664,,90.0,2025-12-09 13:01:27+00:00
y1257,28,72040809,11257,0.0,IN_TRANSIT_TO,2.0,1257,42.333221,-71.091768,,233.0,2025-12-09 13:01:55+00:00
ynk252,Shuttle-Generic,BL-99597744,,,IN_TRANSIT_TO,,252,42.352137,-71.12324,,279.0,2025-12-09 13:01:49+00:00
y0771,217,71987709,3228,0.0,STOPPED_AT,63.0,0771,42.275544,-71.011689,,178.0,2025-12-09 13:01:55+00:00
y3121,455,71826273,37150,1.0,STOPPED_AT,1.0,3121,42.524823,-70.896378,,,2025-12-09 13:01:17+00:00
y3267,57,71375087,9031,1.0,IN_TRANSIT_TO,5.0,3267,42.355722,-71.187428,,31.0,2025-12-09 13:01:57+00:00
y0836,226,71987540,13831,1.0,IN_TRANSIT_TO,3.0,0836,42.1752,-70.955414,,3.0,2025-12-09 13:01:58+00:00
y1323,743,72041168,74634,1.0,STOPPED_AT,3.0,1323,42.393961,-71.028327,,93.0,2025-12-09 13:01:59+00:00
y3148,104,71998200,5351,1.0,STOPPED_AT,9.0,3148,42.418151,-71.05083,,,2025-12-09 13:01:51+00:00
y2017,85,71694525,2574,1.0,STOPPED_AT,1.0,2017,42.381684,-71.098362,,247.0,2025-12-09 13:01:57+00:00
y1669,34,72094538,74618,1.0,IN_TRANSIT_TO,3.0,1669,42.25376,-71.17056,,0.0,2025-12-09 13:01:31+00:00
y3120,429,71825969,6746,1.0,IN_TRANSIT_TO,40.0,3120,42.468126,-70.986074,,164.0,2025-12-09 13:01:55+00:00
y1790,501,71465971,6551,0.0,STOPPED_AT,1.0,1790,42.35501,-71.05691,,315.0,2025-12-09 13:01:23+00:00
y1965,111,71994140,2832,0.0,IN_TRANSIT_TO,2.0,1965,42.364247,-71.058149,,312.0,2025-12-09 13:01:56+00:00
y1961,77,71695002,17922,1.0,STOPPED_AT,2.0,1961,42.424317,-71.183594,,,2025-12-09 13:01:58+00:00
y3245,57,71375094,912,1.0,IN_TRANSIT_TO,12.0,3245,42.350222,-71.169313,,66.0,2025-12-09 13:01:58+00:00
y1437,137,71997641,9194,1.0,IN_TRANSIT_TO,23.0,1437,42.472345,-71.061351,,177.0,2025-12-09 13:01:58+00:00
