vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y1710,38,72093860,5263,1.0,STOPPED_AT,1.0,1710,42.27889,-71.14816,,90.0,2025-12-09 04:18:38+00:00
y3356,120,71826163,5740,0.0,STOPPED_AT,1.0,3356,42.36946,-71.03935,,45.0,2025-12-09 04:18:36+00:00
y0824,230,71987678,3861,0.0,IN_TRANSIT_TO,19.0,0824,42.218243,-71.00323,,167.0,2025-12-09 04:18:52+00:00
ynk250,Shuttle-Generic,BL-73227150,,,IN_TRANSIT_TO,,250,42.351883,-71.121852,,,2025-12-09 04:17:02+00:00
y1788,23,71468462,405,0.0,STOPPED_AT,10.0,1788,42.318858,-71.081707,,197.0,2025-12-09 04:18:50+00:00
y0813,240,71988085,4153,0.0,STOPPED_AT,25.0,0813,42.247491,-71.06915,,183.0,2025-12-09 04:18:52+00:00
y1962,71,71695365,2044,0.0,IN_TRANSIT_TO,20.0,1962,42.36754,-71.179732,,208.0,2025-12-09 04:18:49+00:00
y1751,1,71468303,102,0.0,STOPPED_AT,18.0,1751,42.36542,-71.10371,,315.0,2025-12-09 04:18:47+00:00
y0833,216,71987608,3310,0.0,IN_TRANSIT_TO,26.0,0833,42.251995,-70.964514,,309.0,2025-12-09 04:18:52+00:00
y1794,1,71468323,856,1.0,IN_TRANSIT_TO,19.0,1794,42.334029,-71.074236,,153.0,2025-12-09 04:18:47+00:00
y3319,116,71825611,5765,0.0,STOPPED_AT,22.0,3319,42.413656,-71.009985,,,2025-12-09 04:18:52+00:00
y3314,116,71825618,5700,1.0,IN_TRANSIT_TO,2.0,3314,42.418768,-70.99143,,275.0,2025-12-09 04:18:48+00:00
y1201,39,72039730,10642,1.0,STOPPED_AT,1.0,1201,42.29918,-71.11454,,90.0,2025-12-09 04:18:32+00:00
y1733,1,71466248,856,1.0,IN_TRANSIT_TO,19.0,1733,42.333772,-71.073782,,141.0,2025-12-09 04:18:48+00:00
y1931,77,71694989,76129,1.0,IN_TRANSIT_TO,33.0,1931,42.374413,-71.11901,,180.0,2025-12-09 04:18:45+00:00
y1765,8,71467263,2,1.0,STOPPED_AT,27.0,1765,42.332671,-71.081245,,,2025-12-09 04:18:49+00:00
